ResumeIndex,ResumeDomain,MatchedJobDomain,Similarity
0,HR & Operations,Finance & Accounting,0.670644
1,HR & Operations,Finance & Accounting,0.6984621
2,HR & Operations,Finance & Accounting,0.7177
3,Healthcare,Finance & Accounting,0.74590087
4,HR & Operations,Finance & Accounting,0.6521207
5,HR & Operations,Finance & Accounting,0.7144468
6,HR & Operations,Finance & Accounting,0.6656965
7,HR & Operations,Finance & Accounting,0.690151
8,HR & Operations,Finance & Accounting,0.72763157
9,HR & Operations,Finance & Accounting,0.6781758
10,HR & Operations,Finance & Accounting,0.70947236
11,HR & Operations,Finance & Accounting,0.7057823
12,HR & Operations,Finance & Accounting,0.72848034
13,HR & Operations,Finance & Accounting,0.6577852
14,HR & Operations,Finance & Accounting,0.67890614
15,Other Services,Finance & Accounting,0.7403343
16,HR & Operations,Finance & Accounting,0.69669574
17,HR & Operations,Finance & Accounting,0.6770195
18,HR & Operations,Finance & Accounting,0.6764858
19,HR & Operations,Finance & Accounting,0.6568841
20,HR & Operations,Finance & Accounting,0.70896006
21,HR & Operations,Finance & Accounting,0.68309474
22,HR & Operations,Finance & Accounting,0.6676909
23,HR & Operations,Finance & Accounting,0.6210004
24,HR & Operations,Finance & Accounting,0.65334284
25,HR & Operations,Finance & Accounting,0.6415543
26,HR & Operations,Finance & Accounting,0.6368183
27,HR & Operations,Finance & Accounting,0.63504267
28,HR & Operations,Finance & Accounting,0.7255297
29,HR & Operations,Finance & Accounting,0.7552387
30,HR & Operations,Finance & Accounting,0.6741708
31,HR & Operations,Finance & Accounting,0.7047547
32,HR & Operations,Finance & Accounting,0.6751765
33,HR & Operations,Finance & Accounting,0.6552112
34,HR & Operations,Finance & Accounting,0.6125686
35,HR & Operations,Finance & Accounting,0.6640779
36,HR & Operations,Finance & Accounting,0.6702328
37,HR & Operations,Finance & Accounting,0.67174757
38,HR & Operations,Finance & Accounting,0.7921596
39,HR & Operations,Finance & Accounting,0.6549742
40,HR & Operations,Finance & Accounting,0.66327214
41,HR & Operations,Finance & Accounting,0.6758538
42,HR & Operations,Finance & Accounting,0.7217872
43,HR & Operations,Finance & Accounting,0.72248733
44,HR & Operations,Finance & Accounting,0.6682993
45,HR & Operations,Finance & Accounting,0.72165346
46,HR & Operations,Finance & Accounting,0.6580442
47,HR & Operations,Finance & Accounting,0.74850583
48,HR & Operations,Finance & Accounting,0.6657526
49,HR & Operations,Finance & Accounting,0.6388339
50,HR & Operations,Finance & Accounting,0.56247824
51,HR & Operations,Finance & Accounting,0.69998807
52,HR & Operations,Finance & Accounting,0.6231649
53,HR & Operations,Finance & Accounting,0.7072251
54,HR & Operations,Finance & Accounting,0.7424308
55,HR & Operations,Finance & Accounting,0.6408152
56,HR & Operations,Finance & Accounting,0.6577095
57,HR & Operations,Finance & Accounting,0.70236504
58,HR & Operations,Finance & Accounting,0.61971307
59,Other Services,Finance & Accounting,0.68390876
60,HR & Operations,Finance & Accounting,0.6219508
61,HR & Operations,Finance & Accounting,0.6489625
62,HR & Operations,Finance & Accounting,0.65982634
63,HR & Operations,Finance & Accounting,0.6558863
64,HR & Operations,Finance & Accounting,0.6333859
65,HR & Operations,Finance & Accounting,0.67167807
66,HR & Operations,Finance & Accounting,0.6931151
67,HR & Operations,Finance & Accounting,0.6782805
68,HR & Operations,Finance & Accounting,0.6337435
69,HR & Operations,Finance & Accounting,0.7199012
70,HR & Operations,Finance & Accounting,0.63657767
71,HR & Operations,Finance & Accounting,0.7276392
72,HR & Operations,Finance & Accounting,0.6677544
73,HR & Operations,Finance & Accounting,0.6567563
74,HR & Operations,Finance & Accounting,0.7390566
75,HR & Operations,Finance & Accounting,0.6810412
76,HR & Operations,Finance & Accounting,0.71054196
77,HR & Operations,Finance & Accounting,0.66464806
78,HR & Operations,Finance & Accounting,0.68681777
79,HR & Operations,Finance & Accounting,0.6569228
80,HR & Operations,Finance & Accounting,0.6787977
81,HR & Operations,Finance & Accounting,0.6775151
82,HR & Operations,Finance & Accounting,0.7069869
83,HR & Operations,Finance & Accounting,0.6742003
84,HR & Operations,Finance & Accounting,0.7295531
85,HR & Operations,Finance & Accounting,0.6163404
86,HR & Operations,Finance & Accounting,0.7239534
87,HR & Operations,Finance & Accounting,0.72335124
88,HR & Operations,Finance & Accounting,0.58902436
89,HR & Operations,Finance & Accounting,0.6607975
90,HR & Operations,Finance & Accounting,0.6913753
91,HR & Operations,Finance & Accounting,0.7071547
92,HR & Operations,Finance & Accounting,0.65475214
93,HR & Operations,Finance & Accounting,0.67007864
94,HR & Operations,Finance & Accounting,0.7376127
95,HR & Operations,Finance & Accounting,0.65885556
96,Healthcare,Finance & Accounting,0.61155105
97,HR & Operations,Finance & Accounting,0.6993232
98,HR & Operations,Finance & Accounting,0.68220556
99,HR & Operations,Finance & Accounting,0.6930324
100,HR & Operations,Finance & Accounting,0.6006499
101,HR & Operations,Finance & Accounting,0.66163737
102,HR & Operations,Finance & Accounting,0.7447852
103,HR & Operations,Finance & Accounting,0.7866814
104,HR & Operations,Finance & Accounting,0.65604043
105,HR & Operations,Finance & Accounting,0.6861953
106,HR & Operations,Finance & Accounting,0.71199673
107,HR & Operations,Finance & Accounting,0.7246139
108,HR & Operations,Finance & Accounting,0.71645445
109,HR & Operations,Finance & Accounting,0.72153556
110,Manufacturing & Construction,Finance & Accounting,0.69035155
111,Creative & Design,Creative & Design,0.7420404
112,Creative & Design,Creative & Design,0.7074877
113,Creative & Design,Creative & Design,0.5683027
114,Creative & Design,Creative & Design,0.74516565
115,Creative & Design,Creative & Design,0.7111226
116,Education,Tech & IT,0.7775037
117,Creative & Design,Finance & Accounting,0.5912929
118,Manufacturing & Construction,Creative & Design,0.5369127
119,Manufacturing & Construction,Finance & Accounting,0.61479235
120,Tech & IT,Tech & IT,0.7315864
121,Other Services,Finance & Accounting,0.5352403
122,Healthcare,Creative & Design,0.61312425
123,Education,Creative & Design,0.67314065
124,Tech & IT,Tech & IT,0.83754706
125,Education,Creative & Design,0.5783631
126,Manufacturing & Construction,Tech & IT,0.6872932
127,Healthcare,Finance & Accounting,0.55507624
128,Tech & IT,Tech & IT,0.7850896
129,Manufacturing & Construction,Finance & Accounting,0.7155715
130,Creative & Design,Creative & Design,0.64390826
131,Creative & Design,Creative & Design,0.7796589
132,Healthcare,Finance & Accounting,0.63040316
133,Creative & Design,Creative & Design,0.4253723
134,Creative & Design,Creative & Design,0.6922931
135,Manufacturing & Construction,Creative & Design,0.70152175
136,Other Services,Finance & Accounting,0.49251688
137,Tech & IT,Tech & IT,0.8102092
138,Creative & Design,Creative & Design,0.5692264
139,Manufacturing & Construction,Creative & Design,0.65752494
140,Creative & Design,Creative & Design,0.6984484
141,Creative & Design,Creative & Design,0.78302765
142,Manufacturing & Construction,Finance & Accounting,0.63891816
143,Creative & Design,Creative & Design,0.6184297
144,Manufacturing & Construction,Finance & Accounting,0.6975852
145,Creative & Design,Creative & Design,0.7284697
146,Creative & Design,Creative & Design,0.7045211
147,Manufacturing & Construction,Creative & Design,0.726746
148,Education,Finance & Accounting,0.67594576
149,Other Services,Finance & Accounting,0.64240587
150,Creative & Design,Finance & Accounting,0.72452193
151,Creative & Design,Creative & Design,0.76922435
152,Creative & Design,Creative & Design,0.6089188
153,Other Services,Creative & Design,0.562018
154,Education,Finance & Accounting,0.6880166
155,Manufacturing & Construction,Creative & Design,0.6393145
156,Manufacturing & Construction,Creative & Design,0.7223917
157,Creative & Design,Creative & Design,0.6799292
158,Manufacturing & Construction,Tech & IT,0.5779136
159,Creative & Design,Finance & Accounting,0.64679176
160,Other Services,Finance & Accounting,0.579531
161,Creative & Design,Creative & Design,0.7199402
162,Other Services,Finance & Accounting,0.6432518
163,Manufacturing & Construction,Finance & Accounting,0.6937939
164,Manufacturing & Construction,Tech & IT,0.5724109
165,Education,Creative & Design,0.60138524
